Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,NE,2014,""9         "",Female,14,Right-Handed,160.0,13.97,147.3,1,Car,17,.457,46,Basketball,950,950,950,950,900,1000,14.60,""Left foot"",75,70,""Index finger"",June,Fall,Yes,No,Meat,Water,Science,6,9,4,""Yes - broadband connection"",""In person"",4,7,9,0,10,8,2,0,1,3,10,1,0,5,Some,""Graduate degree"",Pop,Telepathy,Happy,Actor,""International aid"""
"USA,NE,2017,""12        "",Male,16,Ambidextrous,78,28,178,2,Car,""2 "",.323,41,Other,647,1000,513,727,999,1000,28,""Same length"",10,10,""Same length"",February,Fall,Yes,No,Seafood,Tea,""Physical education"",7,9,2,""Yes - other"",""In person"",147,235,70,15,0,5,70,30,4,6,9,0,20,10,""A lot"",""Less than high school"",Other,""Freeze time"",Happy,Other,""Education/Youth development"""
"USA,NE,2013,""9         "",Female,14,Right-Handed,145,24,145,2,Car,10,0.696,52,Soccer,900,900,1000,900,700,700,25,""Right foot"",60,70,""Ring finger"",March,Fall,,,""No favorite"",Water,Other,,8,4,""Yes - other"",""Myspace, Facebook, other social networking sites, or blog"",487,400,20,5,2,0,3,6,9,2,2,0,3,2,Some,""Graduate degree"",""Rap/Hip hop"",Invisibility,Happy,""Religious figure"",Religious"
"USA,NE,2014,""10        "",Female,14,Right-Handed,157,21,,2,Car,17,0.425,28,Dancing,,,,,,80,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"USA,NE,2018,""12        "",Female,17,Left-Handed,345.6,54.61,345.6,2,Car,2,0.581,34,Soccer,743,583,401,727,134,455,55.23,""Left foot"",60.5,70.5,""Ring finger"",May,Fall,No,No,Meat,Water,History,7,10,4,""Yes - broadband connection"",""In person"",15,25,80,1,9,8,12,1,100,70,5,10,0,5,""A lot"",""Graduate degree"",""Rhythm and blues (R&B)"",Invisibility,Rich,""Sports person"",""International aid"""
"USA,NE,2012,""6         "",Male,12,Right-Handed,152,23,146,1,Car,2,.341,38,Basketball,1000,800,950,900,800,1000,23,""Same length"",65,70,""Ring finger"",October,Winter,No,No,Meat,""Sports drink"",Science,11,7,4,""Yes - other"",""Text messaging"",100,90,7,1,0,8,10,1,2,13,3,2,0,1,""A lot"",""Some college"",""Rap/Hip hop"",Fly,Famous,""Sports person"",""Arts, culture, sports"""
"USA,NE,2017,""10        "",Male,16,Right-Handed,185.4,25.4,193.4,1,Car,19,.369,41,Walking/Hiking,717,305,396,497,893,1000,25.4,""Same length"",8.89,8.76,""Index finger"",July,Winter,No,No,""Rice/Noodle dishes"",Water,Science,7,10.5,6,""Yes - broadband connection"",""Text messaging"",300,600,25,.5,2,5,2,10,28,28,50,0,0,7,Some,""Graduate degree"",Other,""Freeze time"",Happy,Relative,Environment"
"USA,NE,2016,""11        "",,14,,175,25,174,1,,20,.461,60,,,,,,,,26,""Left foot"",,,,,,,,,,,7,,,,,100,,,,,,,,,,,,,,,,,,,,"
"USA,NE,2014,""9         "",Male,15,Left-Handed,54,10,18,1,Car,10,0.541,60,Swimming,5,50,1000,1000,1000,1000,10,""Same length"",8,8,""Same length"",December,Fall,No,No,Pizza/Pasta,""Soft drink (caffeinated)"",""Computers and technology"",8,10,4,""Yes - other"",""Text messaging"",37,35,6,2,3,4,1,1,4,4,4,4,1,2,Some,""Graduate degree"",Pop,""Freeze time"",Happy,Actor,""Wildlife, animals"""
"USA,NE,2017,""10        "",Female,16,Right-Handed,,,,1,Car,""10 "",0.591,51,None,572,807,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
