Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MN,2016,"11        ",Female,17,Right-Handed,62,26,61.5,1,Car,45,0.541,46,"Hockey (Ice)",316,139,540,171,1000,1000,25,"Right foot",3,3.5,"Ring finger",October,Fall,No,No,Seafood,Water,English,6,10,4,"Yes - broadband connection","Cell phone",200,200,14,30,50,10,60,15,10,4,8,2,20,0,Some,"Graduate degree",Pop,Invisibility,Rich,Relative,Health
USA,MN,2019,"11        ",Male,16,Right-Handed,152,29,419,1,Car,15,.434,35,"Hockey (Field)",690,1000,503,695,1000,1000,29,"Same length",1,1,"Same length",July,Winter,No,No,Pizza/Pasta,Water,Science,7,8,3,"Yes - broadband connection","In person",30,30,18,0,5,8,5,30,20,10,20,5,15,8,Some,"Less than high school","Heavy metal","Freeze time",Rich,Relative,"International aid"
USA,MN,2020,"9         ",Male,15,Right-Handed,172,24,160,1,Car,6,.352,54,Baseball/Softball,1000,1000,1000,904,615,615,24,"Same length",80,90,"Ring finger",October,Summer,Yes,No,Desserts,Water,"Physical education",10,12,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",200+,200+,10,1,1,10,10,20,20,20,30,6,2,2,Some,"Graduate degree","Rock and roll","Freeze time",Happy,"Musician or singer","International aid"
USA,MN,2023,"10        ",Male,16,Right-Handed,183,27,185,1,Car,5,0.533,35,None,0,0,0,0,0,0,27.5,"Left foot",7,4,"Ring finger",September,Spring,No,No,Meat,Water,"Physical education",8,10,3,"Yes - broadband connection","Text messaging",100,100,10,1,1,3,5,0,1,1,1,0,0,0,"Very little","High school","Rap/Hip hop",Fly,Rich,Politician,Other
USA,MN,2023,"12        ",Female,18,Right-Handed,173,22.5,170,4,Car,13,.285,33,"Martial Arts",999,850,700,900,870,787,22.8,"Left foot",83,85,"Ring finger",February,Spring,Yes,No,Fruit,Water,Art,7,5,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",75,170,20,1,5,10,2,3,3,1,10,0,40,2,Some,"Graduate degree","Punk rock",Fly,Rich,"Religious figure","Wildlife, animals"
USA,MN,2015,"12        ",Male,16,Right-Handed,172,34,160,1.5,Bus,5,.385,51,Other,396,198,647,578,1000,1000,33,"Right foot",100,100,"Same length",January,Summer,Yes,No,"No favorite","Powdered drink","Physical education",8,14,8,"Yes - broadband connection","Internet chat or instant messaging",50,100,40,1,1,20,4,95,95,5,95,10,0,30,Some,Other,"Heavy metal",Invisibility,Happy,Friend,Other
USA,MN,2016,"11        ",Male,16,Right-Handed,191,31,201,1,Car,25,0.305,32,Tennis,503,599,401,535,679,749,31,"Same length",12.0,12.1,"Ring finger",April,Summer,Yes,No,"No favorite",Water,Other,6,9,4,"Yes - broadband connection","Text messaging",30,30,10,0,10,10,10,12,5,2,15,10,5,5,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Friend,Health
USA,MN,2017,"12        ",Female,16,Right-Handed,14,,,2,Car,11,0.363,39,Tennis,500,600,600,700,800,900,20,"Same length",7,7,"Same length",March,Spring,No,No,Fruit,Water,Science,7,10,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",8,10,4,1,8,7,5,0,2,1,8,1,0,4,"A lot",Other,Pop,Fly,Healthy,Relative,"International aid"
USA,MN,2018,"9         ",Male,14,Left-Handed,182.8,27,76,1,Car,20,.167,48,Basketball,10,6.5,8,6,3,10,27,"Same length",90,70,"Index finger",January,Winter,Yes,No,Seafood,Water,"Mathematics and statistics",6,5,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",60,80,4,0,0,6,6,0,12,12,10,1,0,,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,Health
USA,MN,2014,"7         ",Male,14,Right-Handed,160,25,125,2,Bus,15,0.638,71,Soccer,,,,,,,24,"Same length",99,100,"Ring finger",May,Summer,Yes,No,Fruit,Water,"Physical education",9,10,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",97,100,1,0,2,1,5,2,1,3,4,2,0,1,Some,Other,"Heavy metal",Invisibility,Healthy,"Sports person",Health
