Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WI,2014,"12        ",Male,16,Right-Handed,184,27,179,1,Car,7,0.427,38,Baseball/Softball,882,711,791,476,572,513,25,"Right foot",68,70,"Ring finger",April,Spring,No,No,Meat,Water,"Social studies",7,9,3,"Yes - broadband connection","In person",50,50,5,1,7,3,11,0,1,20,3,6,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,WI,2013,"8         ",Female,13,Right-Handed,173,25.5,172,1,Bus,45,.49,44,Running/Jogging,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2016,"12        ",Female,17,Right-Handed,160,18,168,2,Car,8,0.358,36,Dancing,1000,800,750,900,900,900,17,"Right foot",70,75,"Ring finger",September,Summer,Yes,No,Pizza/Pasta,Coffee,Science,4,8,3,"Yes - broadband connection","Text messaging",450,500,6,7,35,4,9,0,70,100,20,0,15,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Friend,Health
USA,WI,2015,"8         ",Male,14,Ambidextrous,175,29,179,2,Bus,22,.464,45,Basketball,,,,,,,29,"Same length",60,70,"Same length",March,Spring,Yes,No,Meat,Water,"Mathematics and statistics",8,10,5,"Yes - other","In person",100,250,65,1,2,152,65,1,2,5,10,0,5,5,Some,"Graduate degree","Rap/Hip hop",Fly,Famous,Relative,Health
USA,WI,2018,"11        ",Female,17,Right-Handed,175.0,25,176,1,Car,3,0.572,44,Other,200,700,800,500,750,750,25,"Same length",70,70,"Same length",May,Spring,Yes,No,Pizza/Pasta,Water,Science,7,9,4,"Yes - broadband connection","Text messaging",6,4,4,1,15,3,7,0,3,3,6,3,0,2,"A lot","Graduate degree",Pop,Invisibility,Happy,Teacher,Health
USA,WI,2020,"5         ",Female,11,Right-Handed,149.6,30.48,149.6,1,Walk,5,0.477,51,Swimming,1000,500,200,1000,950,950,30.48,"Same length",76.2,50.8,"Ring finger",September,Spring,Yes,No,"Rice/Noodle dishes",Water,History,10,11,3,"Yes - other","Text messaging",37,9,0,6,3,8,3,5,0,0,6,3,0,2,"A lot","Graduate degree",Pop,Telepathy,Rich,Actor,"Wildlife, animals"
USA,WI,2014,"8         ",Female,14,Right-Handed,163.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2020,"12        ",Female,15,Right-Handed,165,22,5,0,Car,10,0.796,64,None,,,,,,,22,"Same length",7,7,"Same length",August,Summer,Yes,No,Meat,Water,Other,10,8,4,"Yes - other","Text messaging",200,500,247,247,0,6,0,0,23,247,8,8,0,0,"Very little",Other,"Rap/Hip hop",Telepathy,Famous,Friend,Other
USA,WI,2016,"12        ",Female,18,Right-Handed,158,21.8,157,1,Car,5,.465,37,"Hockey (Ice)",900,800,900,950,750,800,21.9,"Left foot",86,88,"Ring finger",September,Fall,Yes,No,Pizza/Pasta,Water,Science,6.5,10,4,"Yes - broadband connection","Internet chat or instant messaging",7,11,10,.5,8,3,6,0,2,2,3,5,0,0,"A lot","Graduate degree",Other,Fly,Happy,Other,"Wildlife, animals"
USA,WI,2013,"12        ",Female,17,Right-Handed,160,20,160,1,Car,5,.857,36,Walking/Hiking,400,600,700,800,900,900,20,"Same length",60,51,"Index finger",January,Winter,Yes,No,Pizza/Pasta,Water,Science,7,8,6,"Yes - broadband connection","Text messaging",50,50,4,1,12,8,1,3,3,5,7,9,8,4,"A lot","Graduate degree",Country,Telepathy,Happy,"Doctor or nurse",Health
USA,WI,2023,"12        ",Male,18,Left-Handed,170,25,169,3,Bus,20,0.27,40,Other,722,674,578,578,1000,1000,25,"Same length",75,85,"Ring finger",April,Fall,No,No,Desserts,Water,Art,6,8,3,"Yes - broadband connection","Internet chat or instant messaging",5,4,5,0,4,4,3,10,1,1,15,0,0,0,Some,"Undergraduate degree",Pop,Fly,Happy,"Musician or singer",Health
USA,WI,2016,"6         ",Female,12,Left-Handed,169,25.5,173,1,Car,6,0.13,73,Swimming,3,1000,1000,100,0,0,73,"Left foot",7,4,"Same length",September,Summer,Yes,No,Other,Juice,English,8,8,3,"Yes - other","Text messaging",131,130,1,0,"3 ",2,30,6,8,2,2,2,0,1,None,"Graduate degree",Pop,"Freeze time",Healthy,"Doctor or nurse",Other
USA,WI,2022,"5         ",Male,10,Right-Handed,142,23,142,4,Car,10,0.298,29,"Football (American)",100,900,950,500,3,4,23,"Same length",60,70,"Ring finger",February,Spring,No,No,Other,Water,"Mathematics and statistics",8,8,4,"Yes - broadband connection","In person",0,0,1,0,1/2,1,20,0,0,0,0,1/2,0,2,None,Other,Other,"Freeze time",Rich,"Business person",Health
USA,WI,2016,"6         ",Male,12,Right-Handed,160,25,160,1,Car,7,.416,58,Soccer,733,791,401,401,1000,1000,25,"Same length",7,7,"Same length",February,Summer,No,No,Meat,"Energy drink","Physical education",7,11,3,"Yes - other","Text messaging",2,3,4,0,1,5,7,0,0,0,1,9,0,0,"A lot","Undergraduate degree",Pop,Invisibility,Famous,"Sports person","Wildlife, animals"
USA,WI,2017,"7         ",Male,13,Left-Handed,164,25,162,1,Car,7,.333,46,Soccer,193,342,433,551,631,797,25,"Same length",6,7,"Ring finger",October,Summer,Yes,No,Pizza/Pasta,Milk,Other,8,6,4,"Yes - other","Internet chat or instant messaging",13,6,4,1,2,3,5,30,3,4,2,2,0,2,"Very little","Some college",Other,Fly,Happy,Friend,"Wildlife, animals"
USA,WI,2015,"8         ",Female,14,Right-Handed,165,23,67,2,Bus,15,.496,47,Gymnastics,466,679,299,417,684,909,23,"Same length",70,65,"Index finger",February,Summer,No,No,"Rice/Noodle dishes",Water,English,8,9,6,"Yes - broadband connection","Internet chat or instant messaging",200,200,6,1,8,2,3,0,10,10,10,1,0,1,"A lot","Graduate degree",Pop,"Freeze time",Healthy,Relative,Health
USA,WI,2013,"8         ",Female,13,Right-Handed,159,22.5,156,1,Bus,70,.291,34,None,10,7,6,7,2,2,21.5,"Right foot",80,70,"Index finger",May,Spring,Yes,No,"No favorite",Water,Art,4,3,6,"Yes - other","In person",0,0,1,1,7,2,2,1,0,1,2,3,0,4,"A lot",Other,"Rap/Hip hop",Telepathy,Happy,"Musician or singer","Wildlife, animals"
USA,WI,2015,"12        ",Female,16,Right-Handed,173,23,136,2,Car,27,.38,54,Other,1000,1000,900,850,300,300,23,"Same length",80,70,"Index finger",July,Fall,Yes,No,Fruit,Water,"Mathematics and statistics",8,7,6,"Yes - broadband connection","Text messaging",7,15,7,2,10,3,15,0,4,0,20,9,0,56,"A lot","Graduate degree",Pop,Telepathy,Rich,"Coach or club leader",Health
USA,WI,2015,"11        ",Male,16,Ambidextrous,183,26,175,1,Car,25,0.525,62,Basketball,877,947,43,182,701,791,26,"Same length",89,83,"Index finger",January,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,11,5,"Yes - dial-up connection","Text messaging",20,21,6,0.5,12,6,4,1,2,1,3,5,0,3,"A lot","Graduate degree",Other,Fly,Healthy,Relative,Health
USA,WI,2013,"8         ",Female,14,Right-Handed,168,25,194,1,Car,5,.411,39,Walking/Hiking,9,10,8,10,10,17,19,"Right foot",70,65,"Index finger",March,Spring,No,Yes,Fruit,Tea,Music,7,10,3,"Yes - broadband connection","Text messaging",20,20,2,1,3,2,0,0,20,7,7,5,0,4,"A lot","Some college","Rock and roll","Freeze time",Happy,Other,Health
USA,WI,2016,"7         ",Female,13,Right-Handed,152,23,156,1,Car,13,0.429,51,Gymnastics,900,750,500,700,300,300,23,"Same length",73,67,"Index finger",February,Summer,Yes,No,Fruit,Water,"Physical education",9,14,4,"Yes - other","In person",2,5,30,0,1,10,10,3,3,0,2,1,0,5,"A lot","Graduate degree",Pop,Fly,Happy,Friend,"Wildlife, animals"
USA,WI,2016,"12        ",Male,17,Right-Handed,194,28,203,1,Car,7,.328,76,"Football (American)",400,100,100,100,700,800,29,"Left foot",108,115,"Ring finger",October,Fall,No,No,Pizza/Pasta,Milk,"Physical education",7,8,5,"Yes - other","In person",10,10,12,1,2,6,15,1,20,3,24,5,20,10,"Very little",Other,Country,Invisibility,Rich,Relative,Health
USA,WI,2014,"8         ",Male,14,Right-Handed,174,35,184,1,Car,12,,".705 ","Football (American)",750,850,900,950,200,250,35,"Same length",80,75,"Index finger",November,Fall,No,No,"No favorite","Soft drink (caffeinated)","Physical education",8,6.5,3,"Yes - other",Other,75,60,53,3,5,50,30,20,6,5,30,1,12,14,Some,Other,Other,"Super strength",Happy,Relative,Other
USA,WI,2015,"7         ",Male,12,Right-Handed,134,21,135,1,Car,8,30,30,Other,1000,1000,1000,1000,1000,1000,21,"Same length",65,60,"Same length",November,Winter,Yes,No,Pizza/Pasta,"Soft drink (non-caffeinated)",Science,10,10,6,"Yes - other","In person",1,1,3,1,5.5,8,0,2,5,0,5,20.5,0,0,"A lot","Some college",Other,Invisibility,Happy,Relative,"International aid"
USA,WI,2022,"5         ",Male,11,Right-Handed,54,21,141,1,Bus,55,0.310,44,Soccer,642,545,684,834,856,893,21,"Same length",75,73,"Index finger",June,Summer,,No,"No favorite",Milk,"Social studies",9,7,5,"Yes - other","Internet chat or instant messaging",3,1,4,6,3,2,1,55,10,2,3,.2,0,.25,"A lot","Some college",Techno/Electronic,Invisibility,Famous,Other,"Wildlife, animals"
USA,WI,2022,"4         ",Male,9,Left-Handed,127,19,123,4,Car,10,0.287,43,"Football (American)",1000,818,524,781,48,59,,"Right foot",,,,,,,,"Rice/Noodle dishes","Sports drink","Mathematics and statistics",8,7,5,"Yes - other","In person",2,4,49,2,1,3,2,2,1,1,2,2,1,3,None,"Graduate degree","Rap/Hip hop","Freeze time",Famous,"Sports person",Other
